username,full_name,is_verified,has_anonymous_profile_picture,biography_len,external_url,followers,following,has_clips,highlight_count,is_professional_account,is_private,media_count,total_tags,total_likes,total_comments,name_length,media_count_of_data_collected,average_likes
__.a.r_u.n.__,ΛЯЦП.....👿,0,0,149,0,483,1080,1,8,0,0,29,39,1763,108,10.0,12,146.91666666666666
nikhil_ctml,💙🌻 ɴ ɪ ᴋ ʜ ɪ ʟ 🌻,0,0,73,0,2106,980,1,0,1,0,12,7,6078,257,16.0,12,506.5
__asif.x.10__,__ASIF__,0,0,12,0,1265,1673,0,10,0,0,3,19,1301,331,8.0,3,433.6666666666667
adhii._____,Adil,0,0,10,0,1211,541,0,1,1,0,1,0,178,7,4.0,1,178.0
afzalmuhamme_d,AFZAL,0,0,85,0,2475,475,1,7,1,0,96,73,2904,321,5.0,12,242.0
_jb_n,لِنُ جبن🍁,0,0,13,0,3861,1475,1,30,1,0,61,4,6873,430,9.0,12,572.75
nihal5977,Nihal Najeeb,0,0,0,0,173,287,0,0,0,1,1,0,42,0,12.0,1,42.0
sabithpkcmnr,Sabith Pkc Mnr,0,0,24,1,834,63,0,0,1,0,38,0,1368,89,14.0,12,114.0
ascended__soul,Dileep Krishna,0,1,21,0,1102,974,0,6,0,0,55,1,1298,58,14.0,12,108.16666666666667
mallu_stoner___,God made weed,0,0,0,0,1945,1127,1,2,1,0,16,0,1221,7,13.0,12,101.75
fi_y_ah,🦋 فاطمة  فدة🦋,0,0,115,0,832,15,0,0,0,1,0,0,0,0,13.0,0,0.0
tenml.official,1OmL™,0,0,112,0,83,18,0,1,1,0,5,2,381,79,5.0,5,76.2
fasilrahman1161,Fasilrahman,0,0,2,0,4690,2907,1,4,1,0,33,15,5083,803,11.0,12,423.5833333333333
a_htihsk_a,Akshitha Chamala,0,0,93,1,1464,2210,1,16,0,1,30,15,6103,745,16.0,12,508.5833333333333
_.rishad.__________,L e r a 💙,0,0,63,0,2781,1600,0,4,1,0,14,142,6695,1361,9.0,12,557.9166666666666
s__a____n____c,IRFAN V,0,0,27,0,720,923,0,0,0,0,37,44,957,79,7.0,12,79.75
ck_salman_,StoRy of ME,0,0,52,0,4702,2034,1,29,1,0,248,23,3647,241,11.0,12,303.9166666666667
itsme_al_ka,💙#💟αℓкα💫,0,0,131,1,3418,995,1,9,0,0,19,96,5247,362,8.0,12,437.25
___a_t_h_u_l,💙☬𝐌𝟏_ʸᵃᵃᵗʰʳⁱᵏᵃⁿ,0,0,38,0,2820,1813,0,5,1,0,18,15,6994,911,15.0,12,582.8333333333334
amrita_fun_fightz,Amrita Fun Fights,0,0,143,0,1507,28,0,2,1,0,166,16,4074,21,17.0,12,339.5
shafi_bcdz,🍁 شاف,0,0,121,0,1249,335,0,18,1,0,22,99,6437,364,5.0,12,536.4166666666666
saitharunreddy_35,Saitharun Reddy,0,0,106,0,242,488,0,6,0,1,38,0,1010,89,15.0,12,84.16666666666667
karthik_photographi,Karthik K,0,0,71,0,1173,1149,1,1,1,0,111,6,1530,2,9.0,12,127.5
__._zid_.__,Arafath,0,0,25,0,2046,2221,0,8,1,0,79,40,4093,525,7.0,12,341.0833333333333
mr.muhzii,𝖒𝖚𝖍𝖘𝖎𝖓║محسن,0,0,134,1,5460,3782,0,7,1,0,31,7,11576,568,11.0,12,964.6666666666666
saanntrrix._.09,SAndeep kumAR NaiR,0,0,137,0,3818,4027,0,10,1,0,219,50,1351,0,18.0,12,112.58333333333333
old__983__costumes,old👣_costumes,0,0,0,0,393,37,0,0,1,0,0,0,0,0,13.0,0,0.0
srithiyaah.__,SKV,0,1,10,0,1508,432,0,3,0,1,0,0,0,0,3.0,0,0.0
vidyutmultifest,Vidyut,0,0,127,1,2404,4,0,13,1,0,400,6,6737,12,6.0,12,561.4166666666666
__.suh4il__,📍 محمد سهيل,0,0,150,0,4397,7029,0,5,1,0,83,23,2945,104,11.0,12,245.41666666666666
a_dhll._,@ d h i l l,0,0,0,0,1012,739,0,4,0,1,6,24,1386,138,11.0,6,231.0
bijinesh_x.77,ＮȺＮƊҤṲ﹏❣,0,0,105,0,1108,687,0,9,0,1,17,136,3677,1055,9.0,12,306.4166666666667
hashim_falah,हाशिम फलाह,0,0,0,0,7033,1110,1,14,1,0,54,11,7755,191,10.0,12,646.25
ansaf_ek,انزاف,0,0,38,0,1618,837,1,7,1,0,1,0,328,71,5.0,1,328.0
mirthasism,Mirthas Muhammed,0,0,150,0,351,242,1,4,1,0,107,0,796,36,16.0,12,66.33333333333333
