username,full_name,is_verified,has_anonymous_profile_picture,biography_len,external_url,followers,following,has_clips,highlight_count,is_professional_account,is_private,media_count,total_tags,total_likes,total_comments,name_length,media_count_of_data_collected,average_likes
m_ng_l_ssery__neel_k_nd_n,മംഗലശേരി നീലകണ്ഠൻ,0,0,66,0,12,17,1,0,0,0,11,28,431,12,17,11,39.18181818
___a____b_____i,a.  b.  i.,0,1,0,0,8,13,0,0,0,0,0,0,0,0,10,0,0
ashi_k310,0,0,1,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0
shareef__v___7,muhammed shareef,0,0,5,0,54,71,0,0,0,0,0,0,0,0,16,0,0
shibin1700,Shibin,0,1,0,0,5,40,0,0,0,0,0,0,0,0,6,0,0
trocksy___01,ａｓｗｉｎｎａｔｈ↔,0,0,0,0,183,354,0,0,0,0,0,0,0,0,10,0,0
__jeramiah__4,--- �� 4---,0,0,0,0,48,49,0,0,0,0,2,0,35,12,11,2,17.5
serienna_,BIJOY,0,1,40,1,359,159,0,2,0,1,0,0,0,0,5,0,0
hi_noob677,愛してます,0,1,5,0,27,52,0,0,0,0,0,0,0,0,5,0,0
thomasnikhilc,Nikhil C thomas,0,1,0,0,18,52,0,0,0,0,0,0,0,0,15,0,0
blac_kvalandine,0,0,1,0,0,7,32,0,0,0,0,0,0,0,0,0,0,0
sinsar976,0,0,1,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0
__x__x_x_x__x___,s.npuɐuɐ,0,0,0,0,149,77,0,0,0,0,0,0,0,0,8,0,0
skater2777,Shareefa Malarvadi,0,1,0,0,9,36,0,0,0,0,0,0,0,0,18,0,0
qdevil251,Athulya achuz,0,0,67,0,90,34,0,0,0,1,0,0,0,0,13,0,0
jai_me_lannister____,0,0,1,0,0,12,22,0,0,0,0,0,0,0,0,0,0,0
handsome.l.daddy,0,0,1,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0
shameem_razak7,shameem razak,0,0,7,0,70,274,0,0,0,0,3,0,21,0,13,3,7
kuttusans_lokam,Kuttusante lokam,0,0,95,0,53,159,0,0,1,0,0,0,0,0,16,0,0
____lover___143___,Lover,0,1,0,0,13,206,0,0,0,0,0,0,0,0,5,0,0
abdulrahumankassim,عبد الرحمن,0,1,0,0,23,139,0,0,0,0,0,0,0,0,10,0,0
venkiteshapaikanan,Venkitesh A Pai Kanan,0,1,0,0,22,103,0,0,0,0,0,0,0,0,21,0,0
__soul_93_,ᗩՏᗯIᑎ•,0,0,8,0,119,61,0,0,0,1,0,0,0,0,6,0,0
arjunc1234,arjun chowhan,0,1,0,0,86,1970,0,0,0,0,0,0,0,0,13,0,0
xtsaleoop,XT乛SALEO・OP,0,1,0,0,275,210,0,0,0,0,0,0,0,0,11,0,0
the_instaholic,~,0,0,0,0,256,622,0,4,1,0,56,50,696,97,1,12,58
mohanan_poojapura,ജിമ്മിട്ട് ലാള്ളപ്പൻ,0,0,117,0,37,5,0,0,0,0,13,0,522,106,20,12,43.5
gherghost,Gherghost,0,1,0,0,1,8,0,0,0,0,0,0,0,0,9,0,0
saniya___ff,freefire lover �,0,1,20,0,51,138,1,0,0,0,3,0,92,5,16,3,30.66666667
jaison__minnal_murali,Jaison,0,0,0,0,21,252,0,0,0,0,0,0,0,0,6,0,0
govi_nd2488,0,0,1,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0
nixonreji,0,0,1,0,0,353,354,0,0,1,0,1,2,147,12,0,1,147
angry_squarel_,₳J₳Ɏ,0,0,0,0,180,747,0,0,0,0,7,0,132,1,4,7,18.85714286
_._a_t_h_u_l._,0,0,1,0,0,370,663,0,0,0,0,0,0,0,0,0,0,0
jhonny34e,0,0,1,0,0,167,848,0,0,0,0,0,0,0,0,0,0,0
mr.madstrocker12345,⚡️,0,1,0,0,48,445,0,0,0,0,0,0,0,0,2,0,0
soul__viper03,Unknown man,0,1,0,0,194,1857,0,0,0,0,0,0,0,0,11,0,0
ansu_s_koshy,Ansu,0,0,37,0,387,245,0,1,0,1,0,0,0,0,4,0,0
the.himalayarider,0,0,1,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0
hasee__________b,Abdul Haseeb .k,0,1,0,0,175,2171,0,0,0,0,0,0,0,0,15,0,0
____swag___10,�️Sreekuttan�️,0,1,0,0,187,157,0,0,0,0,0,0,0,0,14,0,0
jobink__george,J�b!ň � GęøŘge,0,0,93,1,360,579,1,1,1,0,26,20,999,80,17,12,83.25
vichu9008,0,0,1,8,0,103,203,0,0,0,1,0,0,0,0,0,0,0
rohit7.__,Rohit,0,0,38,0,270,203,0,0,0,1,0,0,0,0,5,0,0
va_va_2002,vava,0,1,0,0,11,8,0,0,0,0,0,0,0,0,4,0,0
wish_nu56,Vishnu,0,0,0,0,204,223,0,0,0,1,6,0,79,2,6,6,13.16666667
navaneeth__sk,Navaneeth Santhosh,0,0,0,0,186,672,0,0,0,0,1,0,64,14,18,1,64
ameen_kl84,Muhammad Ameen,0,1,0,0,40,536,0,0,0,0,0,0,0,0,14,0,0
i_am_di__ffe__rnt,Arun,0,1,0,0,72,406,0,0,0,0,0,0,0,0,4,0,0
adhilm378622021,adhil,0,1,0,0,4,31,0,0,0,0,0,0,0,0,5,0,0
aryaarya32727,�MOON CHILD�,0,0,21,0,192,339,1,3,0,0,21,58,879,68,12,12,73.25
mammadh_chugaveeran_,0,0,0,0,0,49,5,0,0,0,0,1,0,8,5,0,1,8
troll__myrukal,athu illa�,0,1,0,0,10,5,0,0,0,0,0,0,0,0,10,0,0
adarshsunil_0123,Adarsh,0,1,0,0,1368,5164,0,0,1,0,0,0,0,0,6,0,0
ema_n_u_,���������,0,0,104,0,316,214,0,10,1,0,4,36,472,287,9,4,118
zunaina.walter,Jayanth Walter,0,0,13,0,52,339,0,0,0,0,0,0,0,0,14,0,0
adr_carlos_,arpith___anil..__,0,0,66,0,118,160,0,0,0,0,2,0,61,4,17,2,30.5
jubil_shery_04,Jubil Shery Kurian,0,1,0,0,88,472,0,0,0,0,0,0,0,0,18,0,0
nikhilkumarmoridea,Nikhil Kumar moridea,0,1,0,0,18,39,0,0,0,0,0,0,0,0,20,0,0
jcikfhrucosos,jdhifjwhduiw,0,1,54,0,64,405,0,0,0,0,0,0,0,0,12,0,0
arun_il9207,���‍�️,0,1,0,0,31,595,0,0,0,0,0,0,0,0,6,0,0
3257.jackson,jackson,0,0,0,0,153,532,0,0,1,0,1,0,26,4,7,1,26
cruso_e_,Bristo John,0,0,73,0,131,168,0,0,0,0,0,0,0,0,11,0,0
si_nan7348,ff troll,0,1,0,0,43,313,0,0,0,0,0,0,0,0,8,0,0
_honey_queen_002,clara mariya,0,0,0,0,117,174,0,0,0,0,0,0,0,0,12,0,0
_ad_a_rsh_,adarsh.appu�,0,0,0,0,342,551,0,0,0,0,0,0,0,0,12,0,0
shx.jin,� � � � � �,0,1,122,0,1010,896,0,0,1,0,6,104,2341,2121,11,6,390.1666667
___la__u__ra___,ميتوز�,0,0,119,0,377,444,0,0,0,1,0,0,0,0,6,0,0
sohelranaar3,I M SEX BOY,0,1,0,0,29,455,0,0,0,0,0,0,0,0,11,0,0
leo_bae_10,_ leo _ boy _�,0,0,24,0,121,425,0,3,0,0,2,5,32,1,14,2,16
anuraga_singham,Anuraga_singham,0,1,0,0,11,3,0,0,0,0,0,0,0,0,15,0,0
kukku8924,��������.�,0,0,70,0,95,99,0,1,0,1,6,0,73,4,10,6,12.16666667
_k_u_t_t_a_n_s,0,0,1,0,0,29,443,0,0,0,0,0,0,0,0,0,0,0
flashin_spade,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0
kingzar2,king,0,0,0,0,46,33,0,0,0,0,0,0,0,0,4,0,0
arfudevil_x,Ａｒｆｕ�,0,0,0,0,352,5199,0,0,0,0,1,0,61,19,5,1,61
mob_x_god,ig.mobx God,0,1,94,0,74,272,0,0,0,0,0,0,0,0,11,0,0
_hari_r_k,����,0,0,17,0,641,475,0,18,0,0,2,11,991,172,4,2,495.5
elnur.a345,Качыбек кызы Элнура,0,0,0,0,336,5244,0,0,0,0,3,0,37,0,19,3,12.33333333
nahana986,Nahana fathima,0,0,0,0,67,30,0,1,0,0,6,0,114,4,14,6,19
ananyaah_._,ananya��,0,0,72,0,104,24,0,1,1,0,6,0,27,0,8,6,4.5
